Formula,RmseCV_mean,R2cv_sd,RmseCV_se,Pval,R2m,R2c,ModelFilename
logBiomassKgHa~Habitat+Depth+CensusMethod+(1|PROVINCE/ECOREGION)+scale(logGrav_NearMarket)*Management+scale(SST_mean_2yr)+scale(SSTa_min_2yr)+scale(SSTa_skewness_2yr)+scale(logChlA_min_2yr)+scale(logChlA_sd_2yr)+scale(logChlA_skewness_2yr)+scale(PAR_max_2yr)+scale(PAR_skewness_2yr)+Matern(1|Easting+Northing),0.7782911725450322,0.02442235096683098,0.00308512941213482,NA,0.2371265399226609,0.6654736322973434,SSTmeanSSTaminSSTaskewnessChlAminChlAsdChlAskewnessPARmaxPARskewness.rds
logBiomassKgHa~Habitat+Depth+CensusMethod+(1|PROVINCE/ECOREGION)+scale(logGrav_NearMarket)*Management+scale(SST_min_2yr)+scale(SST_max_2yr)+scale(SST_skewness_2yr)+scale(SSTa_kurtosis_2yr)+scale(SSTa_skewness_2yr)+scale(logChlA_min_2yr)+scale(logChlA_sd_2yr)+scale(logChlA_kurtosis_2yr)+scale(PAR_max_2yr)+scale(PAR_skewness_2yr)+scale(logwave_mean)+Matern(1|Easting+Northing),0.7785159302897546,0.02476801135459881,0.00312606256424228,0.15686728143197104,0.22851128018690348,0.659948886541567,SSTminSSTmaxSSTskewnessSSTakurtosisSSTaskewnessChlAminChlAsdChlAkurtosisPARmaxPARskewnesswavemean.rds
logBiomassKgHa~Habitat+Depth+CensusMethod+(1|PROVINCE/ECOREGION)+scale(logGrav_NearMarket)*Management+scale(SST_max_2yr)+scale(SST_skewness_2yr)+scale(SSTa_kurtosis_2yr)+scale(SSTa_skewness_2yr)+scale(logDHW_skewness_2yr)+scale(logChlA_min_2yr)+scale(logChlA_sd_2yr)+scale(logChlA_kurtosis_2yr)+scale(PAR_max_2yr)+scale(PAR_skewness_2yr)+scale(logwave_mean)+Matern(1|Easting+Northing),0.7786177454797732,0.02474470372585108,0.00312380338331104,0.07775264689700168,0.2251241364886196,0.6626232265257636,SSTmaxSSTskewnessSSTakurtosisSSTaskewnessDHWskewnessChlAminChlAsdChlAkurtosisPARmaxPARskewnesswavemean.rds
